Depth (m),Time,Black Carbon (ppb)
2.258,2013.083,0.8
2.265,2013.082,1.25
2.273,2013.081,0.93
2.281,2013.079,1.19
2.288,2013.078,0.99
2.296,2013.076,1.5
2.303,2013.075,1.11
2.311,2013.074,1.6
2.319,2013.072,1.21
2.326,2013.071,1.5
2.334,2013.069,1.59
2.342,2013.068,1.18
2.349,2013.067,1.37
2.357,2013.065,1.6
2.364,2013.064,1.36
2.372,2013.062,1.66
2.38,2013.061,1.25
2.387,2013.06,1.46
2.395,2013.058,1.58
2.402,2013.057,1.4
2.41,2013.055,1.51
2.418,2013.054,1.45
2.425,2013.053,1.46
2.433,2013.051,1.46
2.441,2013.05,1.59
2.448,2013.048,1.11
2.456,2013.047,1.77
2.463,2013.046,1.48
2.471,2013.044,1.45
2.479,2013.043,1.42
2.486,2013.041,1.3
2.494,2013.04,1.28
2.502,2013.038,1.22
2.509,2013.037,0.94
2.517,2013.036,0.85
2.524,2013.034,0.86
2.532,2013.033,0.76
2.539,2013.032,0.65
2.546,2013.03,0.92
2.553,2013.029,1.08
2.561,2013.027,0.87
2.568,2013.026,1.42
2.575,2013.025,1.62
2.582,2013.024,1.57
2.589,2013.022,1.97
2.597,2013.021,1.83
2.604,2013.02,2.46
2.611,2013.018,2.12
2.618,2013.017,2.24
2.625,2013.016,1.78
2.633,2013.014,1.73
2.64,2013.013,1.5
2.647,2013.012,1.2
2.654,2013.01,0.71
2.661,2013.009,0.73
2.668,2013.008,1.18
2.675,2013.006,1.27
2.682,2013.005,0.95
2.689,2013.004,0.71
2.695,2013.003,0.54
2.702,2013.001,0.76
2.709,2013,0.36
2.716,2012.999,0.36
2.722,2012.997,0.3
2.729,2012.996,0.09
2.736,2012.994,0.2
2.743,2012.992,0.07
2.749,2012.991,0.14
2.756,2012.989,0.06
2.763,2012.988,0.18
2.77,2012.986,0.25
2.777,2012.984,0.56
2.783,2012.983,0.73
2.79,2012.981,0.85
2.797,2012.98,0.91
2.803,2012.978,0.75
2.809,2012.977,0.7
2.816,2012.975,0.73
2.822,2012.974,0.73
2.828,2012.972,0.39
2.834,2012.971,0.64
2.841,2012.969,0.64
2.847,2012.968,0.86
2.853,2012.966,0.54
2.86,2012.965,0.36
2.866,2012.963,0.16
2.872,2012.962,0.17
2.879,2012.96,0.01
2.885,2012.959,0.07
2.891,2012.958,0.01
2.897,2012.956,-0.02
2.904,2012.954,0.03
2.91,2012.953,0.11
2.916,2012.952,0.18
2.925,2012.95,0.13
2.933,2012.948,0.02
2.941,2012.946,0.25
2.949,2012.944,0.18
2.957,2012.942,0.25
2.965,2012.94,0.32
2.973,2012.938,0.17
2.981,2012.936,0.12
2.99,2012.934,0.14
2.998,2012.932,0
3.006,2012.931,0.08
3.014,2012.929,0.02
3.022,2012.927,0.22
3.03,2012.925,0.05
3.038,2012.923,0.08
3.046,2012.921,0.02
3.055,2012.919,0.26
3.063,2012.917,0.4
3.071,2012.915,0.27
3.079,2012.913,0.41
3.087,2012.912,0.37
3.095,2012.91,0.47
3.103,2012.908,0.65
3.11,2012.906,1.17
3.118,2012.904,2.32
3.126,2012.902,2.79
3.134,2012.901,3.02
3.142,2012.899,3.95
3.15,2012.897,4.61
3.158,2012.895,4.6
3.166,2012.893,6.62
3.174,2012.891,5.68
3.182,2012.889,3.89
3.19,2012.887,3.32
3.198,2012.886,1.92
3.205,2012.884,1.52
3.213,2012.882,1.18
3.221,2012.88,0.87
3.229,2012.878,1.08
3.237,2012.876,1.34
3.245,2012.874,2
3.253,2012.873,1.84
3.261,2012.871,1.88
3.269,2012.869,2.22
3.277,2012.867,2.35
3.285,2012.865,1.85
3.293,2012.863,1.72
3.301,2012.861,0.83
3.309,2012.859,0.6
3.317,2012.858,0.55
3.325,2012.856,0.48
3.333,2012.854,0.59
3.341,2012.852,0.54
3.349,2012.85,0.67
3.357,2012.848,0.57
3.365,2012.846,0.55
3.373,2012.844,0.36
3.38,2012.843,0.36
3.388,2012.841,0.53
3.395,2012.839,0.55
3.403,2012.837,0.56
3.41,2012.836,0.64
3.418,2012.834,0.46
3.425,2012.832,0.41
3.432,2012.831,0.45
3.44,2012.829,0.53
3.447,2012.827,0.53
3.455,2012.825,0.63
3.462,2012.824,0.57
3.47,2012.822,0.85
3.477,2012.82,0.76
3.485,2012.818,0.53
3.492,2012.817,0.74
3.5,2012.815,0.57
3.507,2012.813,0.83
3.514,2012.811,0.67
3.522,2012.81,0.42
3.529,2012.808,0.4
3.536,2012.806,0.51
3.544,2012.804,0.46
3.551,2012.803,0.35
3.558,2012.801,0.19
3.565,2012.799,0.22
3.573,2012.798,0.14
3.58,2012.796,0.24
3.587,2012.794,0.02
3.595,2012.792,0.02
3.602,2012.791,0.1
3.609,2012.789,0.42
3.617,2012.787,0.16
3.624,2012.786,0.01
3.631,2012.784,0.01
3.638,2012.782,0.05
3.646,2012.78,0.04
3.653,2012.779,0.04
3.66,2012.777,0
3.668,2012.775,0.11
3.675,2012.774,0.17
3.682,2012.772,0.2
3.689,2012.77,0.23
3.697,2012.768,0.15
3.704,2012.767,0.06
3.711,2012.765,0.06
3.718,2012.764,0.31
3.726,2012.762,0.11
3.733,2012.76,0.32
3.74,2012.758,0.16
3.747,2012.757,0.15
3.755,2012.755,0.13
3.762,2012.753,0.19
3.769,2012.752,0.29
3.776,2012.75,0.37
3.784,2012.748,0.4
3.791,2012.746,0.53
3.798,2012.745,0.65
3.805,2012.743,0.47
3.812,2012.741,0.18
3.819,2012.74,0.24
3.826,2012.738,0.47
3.833,2012.737,0.38
3.841,2012.735,0.41
3.848,2012.733,0.34
3.855,2012.731,0.18
3.862,2012.73,0.13
3.869,2012.728,0.17
3.876,2012.726,0.13
3.883,2012.725,0.24
3.89,2012.723,0.31
3.898,2012.721,0.11
3.905,2012.72,0.19
3.912,2012.718,0.14
3.918,2012.717,0.06
3.925,2012.715,0.03
3.932,2012.713,0.05
3.938,2012.712,0.11
3.945,2012.71,0.14
3.951,2012.709,0.05
3.958,2012.707,0.09
3.965,2012.706,0.17
3.971,2012.704,0.24
3.978,2012.703,0.28
3.984,2012.701,0.26
3.991,2012.699,0.17
3.997,2012.698,0.02
4.004,2012.696,-0.14
4.011,2012.695,-0.28
4.017,2012.693,-0.41
4.024,2012.692,-0.51
4.03,2012.69,-0.59
4.037,2012.689,-0.65
4.044,2012.687,-0.69
4.05,2012.686,-0.7
4.057,2012.684,-0.68
4.064,2012.682,-0.64
4.07,2012.681,-0.57
4.077,2012.679,-0.46
4.084,2012.678,-0.33
4.09,2012.676,-0.16
4.097,2012.675,0.04
4.104,2012.673,0.22
4.11,2012.672,0.26
4.117,2012.67,0.43
4.123,2012.669,0.42
4.13,2012.667,0.49
