Top Depth,Bot Depth,Mid Depth,MSA,Chloride,Nitrate,Sulfate,Sodium,Ammonium,Potassium,Magnesium,Calcium,Sr88(LR),Cd111(LR),Cs133(LR),Ba137(LR),La139(LR),Ce140(LR),Pr141(LR),Pb208(LR),Bi209(LR),U238(LR),As75(LR),Li7(LR),Al27(MR),S32(MR),Ca44(MR),Ti47(MR),V51(MR),Cr52(MR),Mn55(MR),Fe56(MR),Co59(MR),Cu63(MR),Zn66(MR),As75(HR),K39(HR),Na23(MR),Mg24(MR),Cu No Volcs
8.481337047,8.572758025,8.527047536,2.67,8.57,77.18,64.57,2.59,15.06,3.13,1.37,5.34,30.845,5,0.94,96.319,1.315,2.096,0.374,11.544,0.4,1099.279,3.717,3.979,7.948,33.678,5.078,260.211,14.586,9.157,57.058,1.664,2.284,64.021,932.409,3.975,4.236,6.299,7.095,64.021
8.572758025,8.666248734,8.619503379,5.92,3.55,34,49.85,2.82,10.6,2.57,0.89,4.53,10.209,5,0.259,19.486,0.265,0.504,0.071,0.964,0.116,411.891,2.288,2.954,5.979,8.081,2.301,80.128,5.071,3.779,43.115,0.742,1.705,46.624,982.691,1.808,3.192,4.18,6.646,46.624
8.666248734,8.755994518,8.711121626,5.35,3.93,18.41,52.86,4.79,10.44,4.37,1.62,6.15,21.94,6.368,0.587,93.755,0.633,1.273,0.148,5.847,0.381,703.62,5.069,8.36,7.562,17.177,5.283,654.055,4.433,6.95,111.568,1.544,3.729,81.418,882.127,5.976,4.813,7.32,8.259,81.418
8.755994518,8.852266667,8.804130592,5.88,3.66,32.28,69.95,2.35,9.11,3.04,0.7,3.16,16.78,4.252,0.702,43.952,0.825,1.868,0.198,12.691,0.349,731.423,7.039,5.018,7.469,25.698,13.504,89.637,5.131,5.661,272.247,2.196,4.534,89.059,781.562,7.309,2.574,2.51,11.654,89.059
8.852266667,8.943822498,8.898044582,2.71,3.52,17.29,40.28,2.4,7.41,2.24,0.68,2.59,3.126,2.354,1.466,19.776,2.095,4.725,0.536,2.297,0.259,215.1,2.558,17.718,8.46,10.956,0.894,166.342,5.332,16.054,35.366,1.371,1.303,82.17,731.279,2.767,2.349,3.356,9.827,82.17
8.943822498,9.038907692,8.991365095,0.89,42.45,105.84,49.5,26.07,12.1,18.61,2.23,16.51,21.318,3.358,3.902,73.611,4.163,8.621,0.982,31.748,0.551,1556.942,13.175,7.472,11.765,13.759,5.835,236.487,7.567,33.268,173.249,4.132,3.924,88.369,580.432,13.06,3.94,2.704,10.355,88.369
9.038907692,9.135662016,9.087284854,1.69,14.04,54.8,68.86,3.24,11.86,2.65,1.05,8.56,9.454,2.125,0.612,15.023,0.359,0.877,0.097,5.339,0.131,497.119,3.472,1.38,5.736,19.114,1.302,166.134,3.533,2.798,22.631,0.655,0.993,43.387,239.185,2.121,0.407,1.473,6.261,43.387
9.135662016,9.232666976,9.184164496,3.49,6.58,30.17,29.3,3.67,10.32,2.69,0.76,4.68,4.88,1.469,0.659,23.416,0.275,0.539,0.056,2.879,0.866,807.072,3.305,8.837,7.239,7.869,0.691,193.661,2.858,9.354,25.202,1.187,0.962,83.453,335.926,3.871,0.512,0.751,9.923,83.453
9.232666976,9.327235897,9.279951437,4.67,4.75,33.31,20.36,2.42,13.47,2.58,1.03,4.72,7.187,2.675,0.846,21.537,0.456,0.812,0.091,5.218,0.669,844.39,3.91,10.248,7.336,12.971,5.239,253.851,4.485,11.106,53.877,1.542,1.76,59.692,481.36,4.34,3.538,3.481,8.755,59.692
9.327235897,9.417998304,9.372617101,1.32,5.35,34.45,32.28,5.59,11.24,8.41,1.34,5.37,9.495,2.968,1.033,19.658,0.636,1.085,0.127,7.557,0.472,881.708,4.515,11.659,7.434,11.583,2.218,314.041,6.112,12.859,82.553,1.898,2.558,78.537,626.795,4.808,6.564,6.21,7.587,78.537
9.417998304,9.508860647,9.463429475,1.86,5.7,46.6,47.1,1.17,11,1.39,0.63,6.12,9.059,2.014,0.467,17.735,0.252,0.528,0.056,13.14,0.355,308.862,4.013,1.848,6.993,11.035,1.576,98.202,2.999,6.222,32.431,1,1.188,75.998,374.163,3.579,0.845,2.404,7.982,75.998
9.508860647,9.608469101,9.558664874,0.92,8.94,75.86,58.37,2.15,14.2,1.01,0.43,2.46,19.629,1.886,1.544,51.925,0.843,1.818,0.229,18.724,0.73,1048.235,7.844,5.233,10.565,21.188,2.284,439.849,10.786,28.267,64.769,4.098,1.864,57.206,284.564,9.101,1.457,1.697,10.459,57.206
9.608469101,9.709589185,9.659029143,0.73,8.37,97.93,36.93,1.3,13.8,1.66,0.75,3.13,8.144,1.551,0.461,13.039,0.316,0.855,0.076,5.39,0.156,387.009,3.369,3.004,6.92,8.39,1.772,209.881,2.345,11.467,32.446,0.857,1.553,28.955,298.341,4.83,0.085,1.121,8.328,28.955
9.709589185,9.815572523,9.762580854,0.91,19.07,110.76,113.52,16.46,23.12,11.79,2.4,9.39,97.612,4.482,2.743,136.316,5.075,14.644,1.304,46.869,0.871,1747.648,18.868,23.583,23.032,42.945,22.943,1217.771,40.658,33.656,354.404,15.649,6.278,50.029,321.899,18.998,9.368,7.999,11.424,50.029
9.815572523,9.917810884,9.866691703,1.26,18.81,117.91,156.29,15.48,32.04,11.07,3.09,14.06,89.726,3.12,3.095,187.966,4.235,9.858,1.224,41.329,0.84,1709.174,25.726,20.56,23.893,40.468,12.763,1023.023,36.028,21.489,393.892,12.818,11.004,71.103,345.457,29.416,6.136,4.596,14.332,71.103
9.917810884,10.0264577,9.972134292,0.93,18.01,135.4,235.28,9.67,58.04,10.08,5.16,30.24,85.942,3.034,3.254,184.567,4.691,11.756,1.339,40.694,0.841,1824.922,22.468,25.39,22.489,33.068,12.278,859.756,31.463,19.743,350.25,11.24,9.354,61.983,453.353,25.535,6.403,4.949,13.818,61.983
10.0264577,10.12640671,10.07643221,1.69,9.7,45.31,85.58,6.37,27.05,4.2,1.93,11.52,82.159,2.947,3.413,181.168,5.146,13.655,1.453,40.06,0.842,1940.669,19.209,30.219,21.084,25.668,11.792,696.49,26.897,17.996,306.609,9.662,7.705,52.862,561.248,21.654,6.671,5.301,13.304,52.862
