Sample number,Top Depth,Bot Depth,Mid Depth,Top Time (11-8-17 Timescale),Bot Time (11-8-17 timescale),Avg Time (11-8-17 timescale),IC MSA (ppb),IC Cl- (ppb),IC NO3-2 (ppb),IC SO4-2 (ppb),nssSO4-2 (ppb),IC Na+ (ppb),IC NH4+ (ppb),IC K+ (ppb),IC Mg2+ (ppb),IC Ca2+ (ppb),Sr88(LR) (ppt),Pb208(LR) (ppt),As75(LR) (ppt),As75(HR) (ppt),Cs133(LR) (ppt),Ba137(LR) (ppt),La139(LR) (ppt),Ce140(LR) (ppt),Pr141(LR) (ppt),Li7(LR) (ppt),S32(MR) (ppb),Ca44(MR) (ppb),V51(MR) (ppt),Cr52(MR) (ppt),Mn55(MR) (ppt),Fe56(MR) (ppb),Co59(MR) (ppt),Na23(MR) (ppb),Si28(MR) (ppt),K39(HR) (ppb),Combo clean Cu interp to DIC2 time (ppt),Combo clean Cd interp to DIC2 time (ppt),Combo clean Bi interp to DIC2 time (ppt),Combo clean Zn interp to DIC2 time (ppt)
1,2.15,2.48,2.32,2013.09,2013.06,2013.07,0.11,12.41,83.03,91.45,70.6925,1.67,11.24,1.02,0.18,4.05,152.3,16.1,3.03,3.38,0.34,45.25,0.59,1.23,0.15,10.11,16.75,11,3.23,10.92,41.83,1.85,2.06,5,34.89,2.5,             NaN,             NaN,0.63,             NaN
2,2.48,2.62,2.55,2013.06,2013.03,2013.04,0.52,19.09,215.55,73.82,19.9325,1.46,5.41,0.15,1.04,12.12,21.75,21.42,2.12,2.2,0.33,26.17,0.57,1.07,0.11,2.97,13.87,4.43,2.36,10.17,29.4,1.54,3.54,1.08,7.26,0.69,             NaN,1.6,0.55,             NaN
3,2.62,2.73,2.67,2013.03,2013,2013.01,0.48,6.26,27.09,50.58,43.8075,6.12,10.64,4.02,0.27,2.72,8.7,5.78,1.1,1.03,0.18,12.72,0.45,1.12,0.14,9.04,9.28,1.52,1.44,5.02,16.98,0.86,1.31,2.72,8.92,1.77,             NaN,1.5,0.48,             NaN
4,2.73,2.87,2.8,2013,2012.97,2012.98,0.6,4.51,13.53,32.92,29.5375,1.87,2.86,1.1,0.2,2.71,15.57,5.21,1.98,1.9,0.16,29.73,0.34,0.71,0.1,11.61,8.92,2.33,1.77,5.49,84.13,1.1,1.38,2.41,8.15,3.85,             NaN,1.44,0.46,             NaN
5,2.87,2.99,2.93,2012.97,2012.95,2012.96,1.29,5.39,9.26,37.34,35.025,4.46,2.24,4,0.15,2.17,11.01,3.89,1.34,2.6,0.11,77.36,0.29,0.79,0.12,9.41,8.01,1.97,1.86,9.53,48.97,1.06,1.16,2.28,7.85,1.89,             NaN,1.24,0.47,             NaN
6,2.99,3.1,3.04,2012.95,2012.92,2012.93,0.88,17.74,15.92,28.39,24.41,10.86,0.99,4.82,0.71,7.27,13.24,5.46,1.46,1.16,0.28,23.86,0.22,0.42,0.07,8.87,6.98,2.49,1.25,7.26,157.44,1.22,1.38,4.88,9.11,1.64,             NaN,4.21,0.44,             NaN
7,3.1,3.23,3.17,2012.92,2012.89,2012.91,1.38,22.52,12.54,19.14,16.005,19.56,8.7,10.21,0.71,14.23,31.06,7.22,2.47,2.2,1.81,47.39,0.79,1.7,0.2,7.48,7.03,9.25,9.03,13.15,178.45,4.77,3.04,6.77,12,4.89,             NaN,2.49,0.76,             NaN
8,3.23,3.35,3.29,2012.89,2012.87,2012.88,0.15,7.31,39.87,74.26,64.2925,2.26,14.86,1.21,0.28,7.37,27.95,8.5,3.49,3.25,0.42,36.82,0.84,1.67,0.19,6.09,14.64,5.23,4.39,8.42,127.57,2.08,2.49,1.96,10.68,2.12,             NaN,2.44,0.57,             NaN
9,3.35,3.46,3.41,2012.87,2012.84,2012.86,0.42,3.88,21.3,37.08,31.755,0.46,0.04,0.14,0.11,3.76,130.5,9.77,2.89,2.86,0.26,82.55,1.37,3.36,0.42,4.84,9.85,9.88,4.67,16.97,60.13,1.48,1.51,4.94,37.32,1.26,             NaN,1.23,0.39,             NaN
10,3.46,3.58,3.52,2012.84,2012.82,2012.83,0.87,9.22,39.57,37.04,27.1475,2.69,0.02,0.42,0.35,4.09,18.76,7.24,3.78,3.64,2.75,31.91,0.82,1.97,0.26,6.56,9.51,2.82,2.94,15.1,87.36,7.45,4,2.73,16.49,0.97,             NaN,0.98,0.41,             NaN
11,3.58,3.69,3.63,2012.82,2012.8,2012.81,0.56,5.57,1.95,16.68,16.1925,2.62,0.04,0.55,0.24,4.43,20.91,4.71,2.63,2.86,0.44,36.47,0.26,0.59,0.1,3.47,5.59,3.22,1.2,4.41,40.93,0.65,1.45,3.59,12.14,1.42,             NaN,1.04,0.43,             NaN
