Year,Depth (m)
2013,2.71
2012,6.9727
2011,10.868
2010,13.5399092
2009,17.08
2008,18.94406028
2007,21.83160853
2006,24.47643926
2005,27.29269053
2004,29.77961157
2003,32.7177842
2002,35.45979244
2001,37.63644599
2000,39.87951171
1999,41.75749127
1998,44.25338311
1997,46.10590642
1996,47.30863066
1995,49.01609528
1994,50.94991635
1993,53.16671028
1992,54.62068176
1991,56.16996558
1990,57.68336346
1989,59.28206373
1988,61.2709059
1987,62.71267989
1986,64.32074841
1985,65.95979888
1984,66.96029426
1983,67.99593274
1982,69.41909861
1981,70.73201139
1980,72.24401692
1979,74.09129923
1978,75.05424835
1977,76.41645361
1976,77.75211421
1975,78.81997696
1974,79.73505917
1973,80.60197732
1972,81.35200933
1971,82.25526066
1970,83.27648215
1969,84.37406128
1968,85.20239816
1967,86.117189
1966,87.37398982
1965,88.43776572
1964,89.25471505
1963,90.00673236
1962,90.91810466
1961,91.89055026
1960,93.01778893
1959,93.89811144
1958,94.49516127
1957,95.06043049
1956,95.5947092
1955,96.2418762
1954,97.05593258
1953,97.76508602
1952,98.50084009
1951,99.23629151
1950,99.71330635
1949,100.1744212
1948,100.6396286
1947,101.3770365
1946,102.0667873
1945,102.6712714
1944,103.4073593
1943,104.1800227
1942,104.8019437
1941,105.4413349
1940,106.1292531
1939,106.7750158
1938,107.0628371
1937,107.759339
1936,108.2070173
1935,108.7231815
1934,109.2206907
1933,110.1318518
1932,110.6277864
1931,111.2747751
1930,111.9716978
1929,112.4432824
1928,113.0344154
1927,113.4233629
1926,113.9295281
1925,114.5793278
1924,115.0703508
1923,115.64642
1922,116.1152049
1921,116.5199902
1920,116.869045
1919,117.4251387
1918,117.8459545
1917,118.3146663
1916,118.6816419
1915,119.0406828
1914,119.4712764
1913,119.7704293
1912,120.3086975
1911,120.6899381
1910,121.0241623
1909,121.2927449
1908,121.5970503
1907,121.8846798
1906,122.1234088
1905,122.4018604
1904,122.8926221
1903,123.1948672
1902,123.4807063
1901,123.8167589
1900,124.1281818
1899,124.4009065
1898,124.7768563
1897,125.1895562
1896,125.4600412
1895,125.7556903
1894,126.0308424
1893,126.2419592
1892,126.6325747
1891,126.8992652
1890,127.1973442
1889,127.6151664
1888,127.9163905
1887,128.2888516
1886,128.5594018
1885,128.8140079
1884,129.0733842
1883,129.3307936
1882,129.7981358
1881,130.1282073
1880,130.5179907
1879,130.769586
1878,131.1029643
1877,131.3740301
1876,131.5521964
1875,131.80241
1874,132.0933199
1873,132.4887792
1872,132.7179705
1871,132.8167072
1870,133.013654
1869,133.2702966
1868,133.6520588
1867,133.8848602
1866,134.0969799
1865,134.1946829
1864,134.4034409
1863,134.6505052
1862,134.8005146
1861,135.0042702
1860,135.3051844
1859,135.4605931
1858,135.673816
1857,135.8461657
1856,136.1119131
1855,136.4055835
1854,136.5793564
1853,136.713901
1852,136.9938575
1851,137.2238125
1850,137.4064885
1849,137.5605241
1848,137.734925
1847,137.9693544
1846,138.1226595
1845,138.3546955
1844,138.5444694
1843,138.7357129
1842,138.9507007
1841,139.1034275
1840,139.3380635
1839,139.4901242
1838,139.6421848
1837,139.7942455
1836,139.9463061
1835,140.0983668
1834,140.2621428
1833,140.4525117
1832,140.6970107
1831,140.9230143
1830,141.0808898
1829,141.2322503
1828,141.4095913
1827,141.6224405
1826,141.8083388
1825,141.9394582
1824,142.0770332
1823,142.2486559
1822,142.4855994
1821,142.6572382
1820,142.8610777
1819,143.1245112
1818,143.3354781
1817,143.5618791
1816,143.6813608
1815,143.7851831
1814,143.9306243
1813,144.1107599
1812,144.3106134
1811,144.4696904
1810,144.6511255
1809,144.8228473
1808,144.9643051
1807,145.1548148
1806,145.3452903
1805,145.4744025
1804,145.6903254
1803,145.8837776
1802,146.1144325
1801,146.3200321
1800,146.5489899
1799,146.7870898
1798,147.0413494
1797,147.1931797
1796,147.3442909
1795,147.5051787
1794,147.6767286
1793,147.8969991
1792,148.1256032
1791,148.335114
1790,148.4699057
1789,148.5322814
1788,148.6453609
1787,148.8311105
1786,148.9634533
1785,149.070972
1784,149.1636817
1783,149.3544383
1782,149.5068631
1781,149.6995808
