sample_name,Date_Melted,Date_Analyzed,depth_top,depth_avg,depth_bottom,time_top,time_avg,time_bottom,Li_7_LR_ppt,Be_9_LR_ppt,Rb_85_LR_ppt,Sr_88_LR_ppt,Y_89_LR_ppq,Mo_95_LR_ppt,Ag_107_LR_ppt,Cd_111_LR_ppt,Cs_133_LR_ppt,Ba_137_LR_ppt,La_139_LR_ppq,Ce_140_LR_ppq,Pr_141_LR_ppq,Nd_146_LR_ppq,Sm_147_LR_ppq,Eu_153_LR_ppq,Gd_157_LR_ppq,Tb_159_LR_ppq,Dy_163_LR_ppq,Ho_165_LR_ppq,Er_166_LR_ppq,Tm_169_LR_ppq,Yb_172_LR_ppq,Lu_175_LR_ppq,W_182_LR_ppt,Re_185_LR_ppt,Tl_205_LR_ppt,Pb_208_LR_ppt,Th_232_LR_ppq,U_238_LR_ppt,Al_27_MR_ppt,P_31_MR_ppt,S_32_MR_ppb,Sc_45_MR_ppq,Ti_47_MR_ppt,V_51_MR_ppt,Cr_52_MR_ppt,Mn_55_MR_ppt,Fe_56_MR_ppt,Co_59_MR_ppt,Ni_60_MR_ppt,Cu_63_MR_ppt,Zn_66_MR_ppt,Ga_69_MR_ppt,K_39_HR_ppb,As_75_HR_ppt,Ca_44_HR_ppb,Mg_24_HR_ppb,Na_23_HR_ppb,,,Zr_90_LR_ppt,Bi_209_LR_ppt
1,7-13-2022,04-07-2023,0.75,0.8272,0.9044,2019.38499680822,2019.37081073928,2019.35657037767,25.54276,0.92263,46.58206,126.285061,13361.43017,13.21734,2.32597,3.10265,3.52,206.58279,7514.99108484849,12145.7058818182,1787.73663333333,6964.26351515152,1589.21803636364,318.785287878788,1441.64685757576,179.307072727273,888.045781818182,162.218478787879,397.003154545455,50.0324121212121,323.055966666667,44.7918727272727,9.02238,4.54733,2.27637,43.19232,3956.49194,1.76194,16957.71984,5412.30708,28.47601875,27876.6791,419.57065,30.74441,39.19298,552.3013,15409.48569,9.87869,74.12655,207.80273,1232.53123,6.79246,17.31981,24.99408,23.57317,18.92102,21.82786,,,194.38533,1639.70031
2,7-13-2022,04-07-2023,0.9044,0.9816,1.0588,2019.35657037767,2019.34227572338,2019.32792677641,20.01663,0.84263,30.23008,146.191129,14155.33619,10.98424,1.0464,3.80449,3.39915,191.46867,6285.10683636364,13815.5171575758,1641.48258484849,6498.87936969697,1570.57469090909,359.513421212121,1564.21670606061,202.956160606061,1009.8559969697,176.020587878788,431.5275,59.4411484848485,367.339087878788,47.9803696969697,4.78303,3.70266,2.36742,50.07079,5585.90506,1.74834,19984.66388,5146.25527,40.28285019,39324.06716,543.01237,38.97701,31.07664,619.22507,16973.46098,11.37882,30.6324,102.83739,644.74164,8.19345,9.85276,31.19975,26.99835,19.38236,11.20302,,,80.20009,1779.9526
3,7-13-2022,04-07-2023,1.0588,1.136,1.2132,2019.32792677641,2019.31352353676,2019.29906600444,20.84964,1.14264,28.11757,149.223032,19800.72131,10.5376,0.86918,2.62945,3.06727,259.73286,9514.40995757576,20006.1696666667,2234.45477272727,8622.70384242424,1972.82831515152,443.587472727273,1758.7828030303,230.904506060606,1278.57756666667,235.005533333333,625.228848484849,84.7504606060606,522.685384848485,80.5962424242424,4.03844,4.27721,2.50944,42.11405,23181.34057,1.52835,27186.52981,3998.38108,27.06055574,64656.98827,1079.63172,57.6657,48.33399,701.68705,25037.68646,17.96857,42.47236,86.62304,499.12995,10.36066,8.89442,31.70694,45.04614,24.28667,16.07118,,,116.76302,1754.90279
4,7-13-2022,04-07-2023,1.2132,1.2904,1.3676,2019.29906600444,2019.28455417945,2019.26998806177,2.25154,0.48262,5.72512,33.002305,1964.89227,9.19782,0.68004,1.07968,0.83927,48.1902,989.309363636364,2076.12540606061,258.37036969697,920.90003030303,222.044175757576,55.2784666666667,285.672654545455,27.915503030303,134.042512121212,34.9526424242424,70.8046878787879,8.86863636363636,50.7694181818182,9.19321212121212,2.47291,3.08177,1.40591,15.98428,23052.62794,1.24518,4404.49487,2141.48351,18.82402548,32396.16738,84.73609,6.21616,6.1832,103.19904,2162.02962,2.55581,0.89868,54.66096,1370.48557,3.68007,3.41458,11.53853,7.59301,10.62492,11.00148,,,109.3013,545.98217
5,7-13-2022,04-07-2023,1.3676,1.4448,1.522,2019.26998806177,2019.25536765142,2019.2406929484,29.22182,0.70929,677.26683,72.347926,6052.65172,266.63127,5.72573,10.56896,3.85289,90.14665,1787.30267878788,3926.39155151515,478.100472727273,1832.17836969697,487.935660606061,123.891866666667,512.607887878788,67.6240787878788,331.198590909091,68.1676212121212,188.975239393939,29.9813121212121,150.293727272727,23.2105818181818,67.9221,9.19669,4.51328,47.96011,9899.30229,2.36423,12479.47543,6167.89217,56.49943021,15953.55544,185.16654,26.53126,9431.22185,4629.57169,26250.435,367.98274,26026.07017,4133.64364,9652.22702,5.09225,563.97402,17.65469,14.84048,23.15305,826.1495,,,975.11764,1434.537
6,7-14-2022,04-07-2023,1.522,1.61687289938651,1.71174579877302,2019.2406929484,2019.22258450139,2019.2043940587,4.93004,0.54262,14.39223,36.118516,3614.25738,13.25021,1.23715,2.75995,1.39431,65.76909,2258.74392424242,4349.84510606061,544.906284848485,2056.66018787879,461.428160606061,88.9241606060606,438.883539393939,55.1158333333333,280.56486969697,50.7637393939394,120.665239393939,14.8993090909091,102.367393939394,12.8340848484849,6.96069,3.10633,1.58611,21.22907,4893.42817,0.303879999999999,7770.39849,3805.07994,15.2263054,14466.88166,126.46548,10.31992,54.77699,164.19053,4850.01059,6.23551,104.9364,110.35159,944.78454,4.42671,9.7438,12.25457,12.22513,11.61202,23.47107,,,136.6587,790.71061
7,7-14-2022,04-07-2023,1.71174579877302,1.80654841360406,1.9013510284351,2019.2043940587,2019.18613518742,2019.1677944419,8.16281,0.64262,12.84981,61.040434,5262.45148,11.52799,1.31958,2.18894,2.3796,91.63726,2750.48677575758,6369.89689393939,728.816178787879,2649.46186060606,651.371121212121,142.280296969697,491.632824242424,75.2912181818182,348.88396969697,71.8589545454546,172.08496969697,23.5045454545455,136.476324242424,17.7492696969697,3.8365,2.80127,1.93482,34.64598,4676.15295,0.48368,7913.28015,4285.60025,21.67645672,17559.16311,176.85157,36.50053,43.2891,483.52466,30261.12621,6.36458,46.31279,138.31266,527.18529,4.87973,5.7267,20.07132,11.44559,12.21492,15.9273,,,50.33221,1488.74364
8,7-14-2022,04-07-2023,1.9013510284351,1.99796039811026,2.09456976778542,2019.1677944419,2019.14901992752,2019.13016038842,7.96126,0.48262,13.44991,34.372653,3175.58391,15.4209,2.91069,6.77443,1.26975,139.21242,1487.76196060606,3245.40666666667,386.606421212121,1424.64363939394,313.756824242424,81.8630424242424,278.324012121212,40.2376606060606,210.831215151515,43.0324848484849,109.428915151515,11.4405393939394,75.1387393939394,11.2867151515152,3.84215,2.53222,1.71576,53.06985,6452.88845,0.64629,6892.28491,5916.8959,17.96662297,12742.34009,159.43685,8.69089,45.11376,148.05752,4367.97636,3.66386,49.58613,181.479,10534.19556,4.5162,8.63304,14.79054,11.84359,10.49997,17.86277,,,115.04498,1743.49929
9,7-14-2022,04-07-2023,2.09456976778542,2.19668965695629,2.29880954612717,2019.13016038842,2019.11013267901,2019.09000996877,2.88585,0.30262,6.33813,26.88042,1572.16313,8.4441,0.58845,2.75176,1.03991,47.33174,890.989009090909,1923.11755757576,252.595060606061,843.666803030303,223.469460606061,45.1091454545455,191.012903030303,21.8027727272727,117.064406060606,21.7765848484848,54.1930272727273,7.18359393939394,34.5232060606061,9.28423333333333,3.76374,2.18316,1.40446,22.30362,4715.84431,0.444109999999999,3082.98118,2449.72221,14.40974043,10928.59808,80.06514,6.07645,12.91052,179.41314,1905.65998,3.48608,15.85643,40.40527,2647.52768,3.64652,4.20894,13.20929,6.75689,8.14694,8.50417,,,102.04368,748.17933
10,7-14-2022,04-07-2023,2.29880954612717,2.38617487975952,2.47354021339187,2019.09000996877,2019.07271923826,2019.05535897572,9.03231,0.56262,17.89001,53.114915,3731.52291,31.45884,2.12565,6.57445,1.82393,148.27962,1804.22353939394,4016.26962121212,482.877436363636,1766.13261515152,436.997718181818,96.9694060606061,341.294536363636,52.3764606060606,234.920960606061,48.2165060606061,104.549445454545,16.0522303030303,89.3582393939394,14.6554333333333,4.88747,2.78581,1.60892,40.61167,4206.10442,0.850239999999999,8054.62949,5551.92295,14.23283664,12385.53838,132.09809,12.23596,215.71172,330.20904,7878.16806,11.71976,437.9849,165.8285,11481.69016,4.50221,9.87706,14.46235,15.57959,11.81239,20.68709,,,110.09841,1665.21618
