sample_name,depth_top,depth_avg,depth_bottom,time_top,time_avg,time_bottom,Li_7_LR_ppt,Be_9_LR_ppt,Rb_85_LR_ppt,Sr_88_LR_ppt,Y_89_LR_ppq,Mo_95_LR_ppt,Ag_107_LR_ppt,Cd_111_LR_ppt,Cs_133_LR_ppt,Ba_137_LR_ppt,La_139_LR_ppq,Ce_140_LR_ppq,Pr_141_LR_ppq,Nd_146_LR_ppq,Sm_147_LR_ppq,Eu_153_LR_ppq,Gd_157_LR_ppq,Tb_159_LR_ppq,Dy_163_LR_ppq,Ho_165_LR_ppq,Er_166_LR_ppq,Tm_169_LR_ppq,Yb_172_LR_ppq,Lu_175_LR_ppq,W_182_LR_ppt,Re_185_LR_ppt,Tl_205_LR_ppt,Pb_208_LR_ppt,Th_232_LR_ppq,U_238_LR_ppt,Al_27_MR_ppt,P_31_MR_ppt,S_32_MR_ppb,Sc_45_MR_ppq,Ti_47_MR_ppt,V_51_MR_ppt,Cr_52_MR_ppt,Mn_55_MR_ppt,Fe_56_MR_ppt,Co_59_MR_ppt,Ni_60_MR_ppt,Cu_63_MR_ppt,Zn_66_MR_ppt,Ga_69_MR_ppt,K_39_HR_ppb,As_75_HR_ppt,Ca_44_HR_ppb,Mg_24_HR_ppb,Na_23_HR_ppb,,,Zr_90_LR_ppt,Bi_209_LR_ppt,Date_Analyzed
1,0.34,0.449815984348159,0.559631968696319,2022.17893141323,2022.14703519095,2022.11513896867,17.1773,0.4631,25.7434,102.3856,13976.6107,4.7886,0.9164,2.2114,2.6033,131.9202,17599.0453,39235.7257,10566.7797,24936.864,3474.3976,817.8429,3677.7884,370.6798,2452.1671,378.6819,902.8803,121.8096,797.5183,101.0601,6.5351,3.1887,1.5807,56.8096,5055.4089,1.1406,11260.748,5218.0851,19.2741,35248.3738,261.6559,20.7025,41.3112,283.3193,8210.3954,6.2471,76.2002,132.6895,693.0166,3.6308,8.555,8.3564,14.9046,10.9887,14.4298,,,937.0299,4269.0403,04-18-2023
2,0.559631968696319,0.660708291077869,0.76178461345942,2022.11513896867,2022.08578119471,2022.05642342075,8.9146,0.1482,6.3298,43.0626,2245.1454,4.9232,1.0367,1.5856,1.1352,36.9742,3557.3235,8501.9325,1350.919,3915.4317,805.7865,194.998,1037.6131,96.2849,511.9684,83.1513,184.8549,35.9208,157.4029,24.2451,2.4168,2.678,0.9994,21.5444,8244.2417,0.3887,3099.7187,11299.3267,11.3442,30333.1802,88.4148,6.4924,10.3123,96.9875,2120.8718,1.8177,16.1206,35.7509,468.7816,1.0195,2.1702,5.176,5.5779,6.7592,10.0975,,,161.1416,1477.3671,04-18-2023
3,0.76178461345942,0.856999490909858,0.952214368360296,2022.05642342075,2022.02876811252,2022.0011128043,9.6844,0.2038,4.939,34.7058,1696.8883,1.3292,0.9032,0.7091,1.1076,28.3167,2749.8738,5931.822,886.2269,3046.9699,470.935,154.1649,570.4636,67.9699,406.495,73.1444,136.0749,17.465,121.1186,15.596,2.1491,3.0174,0.8595,13.6686,3470.3377,0.3636,3681.3136,14957.6916,6.6165,14445.6858,80.9461,4.8687,6.8284,66.4953,2228.6755,1.5731,8.5599,20.4559,3817.3201,0.9728,1.538,3.6481,3.8301,11.3179,13.8297,,,47.5413,1025.7871,04-18-2023
4,0.952214368360296,1.06422253457251,1.17623070078473,2022.0011128043,2021.96857985941,2021.93604691453,21.971,0.2038,238.2477,79.3652,3449.0782,21.607,0.819,8.4432,2.0964,67.449,3509.8482,7964.502,1789.5864,5135.1109,845.3602,247.3,1091.1221,138.2361,802.4879,139.1294,375.3238,49.25,298.948,44.167,15.8459,5.6711,2.1753,53.0394,2999.7939,1.2479,6387.7881,6677.9507,21.5189,10374.5154,78.0713,8.9055,612.0763,1103.3973,5021.4606,45.417,1879.2493,1651.0376,6884.9103,1.2627,192.6889,3.6481,20.3065,12.7549,189.7427,,,760.2606,1877.9372,04-18-2023
5,1.17623070078473,1.27698103657762,1.37773137237051,2021.93604691453,2021.90678382387,2021.87752073322,2.2576,0.2408,15.7207,23.3024,1116.5102,3.1399,1.0777,2.1796,0.4854,21.3619,742.8798,1791.103,456.3242,1090.3347,189.6606,84.4555,364.6026,41.5579,198.7819,43.8958,85.7702,6.9554,116.2807,14.0234,3.6727,3.0531,1.042,16.8769,1510.6882,0.3578,2886.8224,5873.2496,7.9894,5955.806,37.3455,1.8987,72.3919,169.8942,962.6027,4.6977,158.1234,178.4006,1205.4623,0.5061,9.5548,0.7483,5.9976,7.7549,14.1135,,,174.1608,754.7738,04-18-2023
6,1.37773137237051,1.47881137970914,1.57989138704778,2021.87752073322,2021.84816188896,2021.8188030447,2.6939,0.2655,25.1253,20.3857,1131.6971,4.8906,1.9599,1.7764,0.5617,26.9837,1124.9805,2614.2538,594.4402,1775.212,294.6557,98.4083,400.8629,58.9781,270.0893,53.6462,153.101,28.4872,124.7471,24.2451,29.1841,3.1786,1.0435,17.6709,662.9707,0.4331,3940.2544,5969.3099,7.517,3969.8692,42.2777,2.7083,137.0152,162.1383,1876.6646,7.7043,254.063,286.5204,1228.2845,0.6854,19.2783,1.2331,4.8848,8.1512,23.6628,,,212.0696,834.3967,04-18-2023
7,1.57989138704778,1.68974635710867,1.79960132716957,2021.8188030447,2021.78689549896,2021.75498795322,3.7513,0.1112,19.6105,37.0861,7041.5275,80.0951,2.8655,1.377,0.9157,79.3756,1746.8821,3774.1517,534.2462,1714.0754,482.819,553.2518,508.1574,55.9862,323.823,64.1687,156.1967,25.9239,144.0987,17.6928,43.9008,3.2058,1.1735,15.3789,1250.8822,0.4211,4181.3907,3651.5175,11.0569,7246.6649,64.4021,3.0013,19.3574,86.4654,1921.0682,1.7641,25.1508,84.4186,1267.3906,0.8991,11.4352,1.7149,8.1456,11.2588,11.4044,,,321.6452,5847.1607,04-18-2023
8,1.79960132716957,1.89576957666072,1.99193782615187,2021.75498795322,2021.72705573661,2021.69912352,8.9298,0.4446,13.124,38.7162,4996.6579,3.341,0.8378,1.2817,1.9848,72.5643,5313.3901,11307.8607,1604.5522,6015.7197,1178.3102,322.0469,1409.5146,192.1955,1001.0784,196.1079,476.0105,67.7135,394.4724,57.796,58.8946,3.4474,1.2365,24.1653,4443.0506,1.9523,7134.0161,8859.4895,16.5771,29191.2666,181.6656,11.7574,21.3793,354.8659,6230.7985,21.6345,99.0451,61.8757,400.5265,2.1814,2.8387,11.3185,6.0661,8.6453,5.1037,,,70.6672,1448.1303,04-18-2023
9,1.99193782615187,2.10317706519503,2.21441630423818,2021.69912352,2021.6668139112,2021.6345043024,10.1753,0.4261,12.2383,29.2319,7825.2066,3.0758,2.2164,1.2145,1.8888,121.3335,6739.3988,14836.1676,2187.9178,7861.0767,1654.2049,445.1186,1861.04,253.5051,1489.2171,275.7245,783.5421,103.0974,573.5837,75.8832,34.3345,2.3532,2.0223,37.1926,4563.0551,1.5082,8823.022,11019.7109,25.1018,29290.5634,188.682,12.9478,18.2944,330.9375,7335.4456,23.1484,20.317,75.8429,339.6402,1.9431,3.1748,14.2807,4.089,8.3739,2.881,,,43.9794,2274.5236,04-18-2023
10,2.21441630423818,2.32528016732324,2.43614403040829,2021.6345043024,2021.60230372212,2021.57010314185,1.2215,0.1112,2.5528,6.3312,583.4618,1.5657,0.4047,0.4653,0.305,10.3369,429.7192,703.5727,229.7511,651.8017,167.8733,46.6141,220.944,35.566,203.9373,31.3263,66.4223,6.1864,82.4154,4.0638,4.1991,2.277,0.8385,7.9298,2571.7221,0.6328,1407.8334,8704.9335,6.3144,9580.1406,35.8517,0.9572,13.7558,25.9305,480.0862,1.352,8.0022,33.472,797.4965,0.2653,2.0835,1.4967,1.3764,5.5345,3.8156,,,148.8559,422.425,04-18-2023
