TopDepth,BotDepth,MidDepth,Oxygen18,Deuterium,TopTime,MidTime,BotTime
8.37,8.48,8.42,-20.24,-156.69,NaN,NaN,NaN
8.48,8.57,8.53,-18.32,-140.76,NaN,NaN,NaN
8.57,8.67,8.62,-18.6,-145.39,NaN,NaN,NaN
8.67,8.76,8.71,-26.53,-207.39,NaN,NaN,NaN
8.76,8.85,8.8,-26.32,-204.55,NaN,NaN,NaN
8.85,8.94,8.9,-27.33,-211.79,NaN,NaN,NaN
8.94,9.04,8.99,-28.32,-220.69,NaN,NaN,NaN
9.04,9.14,9.09,-28.18,-219.17,NaN,NaN,NaN
9.14,9.23,9.18,-27.26,-211.26,NaN,NaN,NaN
9.23,9.33,9.28,-27.29,-211.65,NaN,NaN,NaN
9.33,9.42,9.37,-26.87,-209.05,NaN,NaN,NaN
9.42,9.51,9.46,-26.54,-206.88,NaN,NaN,NaN
9.51,9.61,9.56,-25.59,-198.63,NaN,NaN,NaN
9.61,9.71,9.66,-25.21,-196.78,NaN,NaN,NaN
9.71,9.82,9.76,-25.32,-198.3,NaN,NaN,NaN
9.82,9.92,9.87,-24.07,-189.42,NaN,NaN,NaN
9.92,10.03,9.97,-23.32,-182.48,NaN,NaN,NaN
10.03,10.13,10.08,-25.2,-197.82,NaN,NaN,NaN
10.13,10.22,10.18,-28.34,-222.24,NaN,NaN,NaN
10.22,10.32,10.27,-31.08,-245.53,NaN,NaN,NaN
10.32,10.4,10.36,-33.49,-262.54,NaN,NaN,NaN
10.4,10.49,10.45,-33.78,-263.57,NaN,NaN,NaN
10.49,10.57,10.53,-33.94,-262.55,NaN,NaN,NaN
10.57,10.66,10.62,-33.65,-259.76,NaN,NaN,NaN
10.66,10.76,10.71,-31.91,-243.68,NaN,NaN,NaN
10.76,10.86,10.81,-27.12,-208.35,NaN,NaN,NaN
10.86,10.96,10.91,-25.14,-193.24,NaN,2010.99968861379,2010.9804731733
10.96,11.06,11.01,-24.8,-192.85,2010.9804731733,2010.96125773282,2010.94204229234
11.06,11.17,11.11,-25.33,-196.07,2010.94204229234,2010.92282685186,2010.89976832328
11.17,11.24,11.2,-25.19,-195.74,2010.89976832328,2010.88823905899,2010.8728667066
11.24,11.32,11.28,-24.23,-188.53,2010.8728667066,2010.85749435422,2010.84212200183
11.52,11.6,11.56,-23.51,-181.9,2010.7652602399,2010.74988788751,2010.73451553513
11.6,11.69,11.64,-23.51,-181.9,2010.73451553513,2010.71914318274,2010.69992774226
11.69,11.78,11.73,-21.53,-167.17,2010.69992774226,2010.68455538987,2010.66533994939
11.78,11.88,11.83,-21.53,-167.17,2010.66533994939,2010.64612450891,2010.62690906842
11.88,11.95,11.91,-24.54,-192.25,2010.62690906842,2010.61537980413,2010.60000745175
11.95,12.03,11.99,-27.54,-217.33,2010.60000745175,2010.58463509936,2010.56926274698
12.03,12.11,12.07,-27.43,-214.72,2010.56926274698,2010.55389039459,2010.5385180422
12.11,12.19,12.15,-28.64,-223.97,2010.5385180422,2010.52314568982,2010.50777333743
12.19,12.29,12.24,-31.52,-246.15,2010.50777333743,2010.48855789695,2010.46934245647
12.29,12.39,12.34,-33.62,-262.37,2010.46934245647,2010.45012701598,2010.4309115755
12.39,12.48,12.44,-33.72,-263.81,2010.4309115755,2010.41169613502,2010.39632378263
12.48,12.57,12.53,-32.96,-259.05,2010.39632378263,2010.37710834215,2010.36173598976
12.57,12.66,12.61,-33.44,-264.91,2010.36173598976,2010.34636363738,2010.32714819689
12.66,12.74,12.7,-34.27,-269.96,2010.32714819689,2010.31177584451,2010.29640349212
12.74,12.82,12.78,-34.37,-270.78,2010.29640349212,2010.28103113974,2010.26565878735
12.82,12.9,12.86,-33.68,-267.39,2010.26565878735,2010.25028643496,2010.23491408258
12.9,12.99,12.94,-31.85,-252.44,2010.23491408258,2010.21954173019,2010.20032628971
12.99,13.06,13.02,-29.79,-233.44,2010.20032628971,2010.18879702542,2010.17342467303
13.06,13.15,13.11,-30.27,-238.25,2010.17342467303,2010.15420923255,2010.13883688016
13.15,13.25,13.2,-30.66,-241.09,2010.13883688016,2010.11962143968,2010.1004059992
13.25,13.34,13.3,-28.71,-222.46,2010.1004059992,2010.08119055872,2010.06581820633
13.34,13.44,13.39,-27.44,-211,2010.06581820633,2010.04660276585,2010.02738732536
13.44,13.54,13.49,-29.88,-229.64,2010.02738732536,2010.00817188488,2009.99193424694
13.54,13.64,13.59,-33.36,-258.56,2009.99193424694,2009.97790008951,2009.96386593209
13.64,13.73,13.69,-35.07,-272.53,2009.96386593209,2009.94983177466,2009.93860444872
13.73,13.83,13.78,-34.62,-268.99,2009.93860444872,2009.92457029129,2009.91053613386
13.83,13.91,13.87,-33.09,-257.89,2009.91053613386,2009.89930880792,2009.88808148198
13.91,14,13.96,-29.83,-233.24,2009.88808148198,2009.87404732455,2009.86281999861
14,14.09,14.04,-24,-184.9,2009.86281999861,2009.85159267267,2009.83755851524
14.09,14.19,14.14,-19.63,-151.56,2009.83755851524,2009.82352435782,2009.80949020039
14.19,14.29,14.24,-20.48,-156.92,2009.80949020039,2009.79545604296,2009.78142188554
14.29,14.38,14.33,-25.57,-198.95,2009.78142188554,2009.77019455959,2009.75616040217
14.38,14.49,14.44,-27.67,-216.86,2009.75616040217,2009.73931941326,2009.72528525583
14.49,14.59,14.54,-26.2,-204.74,2009.72528525583,2009.7112510984,2009.69721694097
14.59,14.69,14.64,-25.33,-197.31,2009.69721694097,2009.68318278355,2009.66914862612
14.69,14.78,14.73,-25.82,-199.24,2009.66914862612,2009.65792130018,2009.64388714275
14.78,14.87,14.82,-25.54,-197.79,2009.64388714275,2009.63265981681,2009.61862565938
14.87,14.96,14.92,-22.93,-176.73,2009.61862565938,2009.60459150196,2009.59336417601
14.96,15.09,15.02,-19.19,-145.58,2009.59336417601,2009.5765231871,2009.5568753667
15.09,15.19,15.14,-19.54,-148.42,2009.5568753667,2009.54284120928,2009.52880705185
15.19,15.27,15.23,-22.67,-175.45,2009.52880705185,2009.51757972591,2009.50635239997
15.27,15.36,15.32,-25.56,-199.85,2009.50635239997,2009.49231824254,2009.4810909166
15.36,15.46,15.41,-26.35,-206.77,2009.4810909166,2009.46705675917,2009.45302260174
15.46,15.55,15.5,-25.01,-195.9,2009.45302260174,2009.4417952758,2009.42776111838
15.55,15.67,15.61,-24.73,-193.4,2009.42776111838,2009.41092012946,2009.39407914055
15.67,15.78,15.73,-23.47,-181.01,2009.39407914055,2009.37723815164,2009.36320399421
15.78,15.91,15.85,-25.11,-195.4,2009.36320399421,2009.34355617381,2009.3267151849
15.91,16,15.95,-28.34,-223.05,2009.3267151849,2009.31548785896,2009.30145370153
16,16.08,16.04,-27.24,-213.03,2009.30145370153,2009.29022637559,2009.27899904965
16.08,16.19,16.13,-29.73,-231.4,2009.27899904965,2009.26496489222,2009.24812390331
16.19,16.31,16.25,-30.14,-234.64,2009.24812390331,2009.2312829144,2009.21444192548
16.31,16.37,16.34,-30.54,-237.88,2009.21444192548,2009.20602143103,2009.19760093657
16.37,16.43,16.4,-32.3,-250.32,2009.19760093657,2009.18918044212,2009.18075994766
16.43,16.53,16.48,-32.07,-247.98,2009.18075994766,2009.16672579023,2009.15269163281
16.53,16.61,16.57,-31.34,-242.15,2009.15269163281,2009.14146430686,2009.13023698092
16.61,16.69,16.65,-31.23,-240.87,2009.13023698092,2009.11900965498,2009.10778232904
16.69,16.75,16.72,-31.88,-247.33,2009.10778232904,2009.09936183458,2009.09094134013
16.75,16.84,16.79,-31.83,-247.29,2009.09094134013,2009.07971401419,2009.06567985676
16.84,16.89,16.86,-30.37,-234.85,2009.06567985676,2009.06006619379,2009.05164569933
16.89,16.96,16.93,-28.69,-221.54,2009.05164569933,2009.04041837339,2009.03199787893
16.96,17.03,17,-27.69,-214.5,2009.03199787893,2009.02077055299,2009.01235005854
17.03,17.09,17.06,-26.65,-207.3,2009.01235005854,2009.00392956408,2008.99134593377
17.09,17.16,17.13,-26.65,-206.58,2008.99134593377,2008.96971076818,2008.95348439399
17.16,17.25,17.21,-25.57,-197.15,2008.95348439399,2008.92644043701,2008.90480527142
17.25,17.34,17.3,-25.97,-201.76,2008.90480527142,2008.87776131444,2008.85612614885
17.34,17.42,17.38,-27.21,-212.8,2008.85612614885,2008.83449098327,2008.81285581768
17.42,17.51,17.46,-26.88,-208.72,2008.81285581768,2008.79122065209,2008.76417669511
17.51,17.6,17.56,-26.78,-208.19,2008.76417669511,2008.73713273813,2008.71549757254
17.6,17.7,17.65,-27.16,-212.48,2008.71549757254,2008.68845361556,2008.66140965858
17.7,17.78,17.74,-26.75,-209.58,2008.66140965858,2008.63977449299,2008.61813932741
17.78,17.86,17.82,-26.23,-205.26,2008.61813932741,2008.59650416182,2008.57486899623
17.86,17.95,17.9,-26.78,-211.42,2008.57486899623,2008.55323383065,2008.52618987366
17.95,18.05,18,-26.45,-208.14,2008.52618987366,2008.49914591668,2008.4721019597
18.05,18.15,18.1,-27.74,-218.72,2008.4721019597,2008.44505800272,2008.41801404573
18.15,18.26,18.2,-30.81,-243.72,2008.41801404573,2008.39097008875,2008.35851734037
18.26,18.36,18.31,-33.07,-260.68,2008.35851734037,2008.33147338339,2008.30442942641
18.36,18.46,18.41,-33.3,-261.83,2008.30442942641,2008.27738546942,2008.25034151244
18.46,18.56,18.51,-31.57,-247.59,2008.25034151244,2008.22329755546,2008.19625359848
18.56,18.65,18.6,-31.14,-244.88,2008.19625359848,2008.17461843289,2008.14757447591
18.65,18.74,18.7,-32.23,-253.86,2008.14757447591,2008.12053051892,2008.09889535334
18.74,18.83,18.79,-33.07,-260.28,2008.09889535334,2008.07185139636,2008.05021623077
18.83,18.92,18.88,-33.66,-265.66,2008.05021623077,2008.02317227379,2008.0015371082
18.92,19.01,18.96,-32.97,-259.23,2008.0015371082,2007.98709733705,2007.96973550675
19.01,19.11,19.06,-31.4,-244.81,2007.96973550675,2007.95237367645,2007.93501184615
19.11,19.2,19.16,-30.5,-236.81,2007.93501184615,2007.91765001585,2007.90376055161
19.2,19.3,19.25,-31.26,-242.83,2007.90376055161,2007.88639872131,2007.86903689101
19.3,19.4,19.35,-32.69,-253.48,2007.86903689101,2007.85167506071,2007.83431323041
19.4,19.49,19.44,-32.58,-252.31,2007.83431323041,2007.82042376617,2007.80306193586
19.49,19.58,19.53,-33.15,-257.22,2007.80306193586,2007.78917247162,2007.77181064132
19.58,19.67,19.62,-34.19,-265.04,2007.77181064132,2007.75792117708,2007.74055934678
19.67,19.79,19.73,-33.7,-261.41,2007.74055934678,2007.71972515042,2007.69889095406
19.79,19.88,19.84,-29.85,-232.14,2007.69889095406,2007.68152912376,2007.66763965952
19.88,19.97,19.93,-26.4,-205.1,2007.66763965952,2007.65027782922,2007.63638836498
