TopDepth,BotDepth,MidDepth,Oxygen18,Deuterium,TopTime,MidTime,BotTime
2.15,2.48,2.32,-23.93,-189.07,NaN,NaN,NaN
2.48,2.62,2.55,-26.37,-207.81,NaN,NaN,NaN
2.62,2.73,2.67,-29.75,-232.92,NaN,NaN,NaN
2.73,2.87,2.8,-27.62,-217.76,NaN,2012.98360319487,2012.96646964719
2.87,2.99,2.93,-22.68,-175.82,2012.96646964719,2012.95178374917,2012.93709785116
2.99,3.1,3.04,-20.13,-154.75,2012.93709785116,2012.92485960281,2012.9101737048
3.1,3.23,3.17,-19.22,-147.51,2012.9101737048,2012.89304015712,2012.87835425911
3.23,3.35,3.29,-18.48,-140.13,2012.87835425911,2012.86366836109,2012.84898246308
3.35,3.46,3.41,-23.81,-185.26,2012.84898246308,2012.83429656507,2012.82205831672
3.46,3.58,3.52,-24.41,-191.1,2012.82205831672,2012.80737241871,2012.7926865207
3.58,3.69,3.63,-23.42,-183.12,2012.7926865207,2012.78044827235,2012.76576237434
3.69,3.78,3.74,-24.93,-194.87,2012.76576237434,2012.75352412599,2012.74373352732
3.78,3.88,3.83,-27.36,-214.05,2012.74373352732,2012.73149527897,2012.71925703063
3.88,3.98,3.93,-28.23,-221.99,2012.71925703063,2012.70701878228,2012.69478053394
3.98,4.05,4.01,-28.39,-222.17,2012.69478053394,2012.68743758493,2012.67764698626
4.05,4.15,4.1,-29.06,-228.3,2012.67764698626,2012.66540873791,2012.65317048957
4.15,4.26,4.21,-28.26,-221.9,2012.65317048957,2012.63848459156,2012.62624634321
4.26,4.35,4.31,-24.72,-194.4,2012.62624634321,2012.61400809487,2012.60421749619
4.35,4.48,4.42,-22.09,-173.29,2012.60421749619,2012.58708394851,2012.5723980505
4.48,4.6,4.54,-22.58,-179.38,2012.5723980505,2012.55771215248,2012.54302625447
4.6,4.73,4.66,-23.57,-187.16,2012.54302625447,2012.52834035646,2012.51120680877
4.73,4.88,4.8,-19.35,-151.98,2012.51120680877,2012.49407326109,2012.47449206374
4.88,5.02,4.95,-21.08,-166.53,2012.47449206374,2012.45735851606,2012.44022496838
5.02,5.12,5.07,-24.3,-189.59,2012.44022496838,2012.42798672003,2012.41574847169
5.12,5.21,5.17,-26.53,-207.69,2012.41574847169,2012.40351022334,2012.39371962467
5.21,5.32,5.27,-25.83,-201.43,2012.39371962467,2012.37903372665,2012.36679547831
5.32,5.38,5.35,-23.4,-181.65,2012.36679547831,2012.3594525293,2012.3521095803
5.38,5.5,5.44,-24.92,-195.93,2012.3521095803,2012.33742368228,2012.32273778427
5.5,5.61,5.55,-27.5,-214.74,2012.32273778427,2012.31049953593,2012.29581363791
5.61,5.7,5.66,-25.7,-200.97,2012.29581363791,2012.28357538957,2012.27378479089
5.7,5.8,5.75,-24.59,-191.67,2012.27378479089,2012.26154654255,2012.2493082942
5.8,5.83,5.82,-26.76,-212.16,2012.2493082942,2012.24441299487,2012.2419653452
5.83,5.99,5.91,-33.77,-264.66,2012.2419653452,2012.22238414785,2012.20280295049
5.99,6.1,6.04,-34.33,-269.64,2012.20280295049,2012.19056470215,2012.17587880414
6.1,6.2,6.15,-31.56,-247.82,2012.17587880414,2012.16364055579,2012.15140230745
6.2,6.29,6.24,-28.68,-222.5,2012.15140230745,2012.14161170877,2012.12937346043
6.29,6.37,6.33,-31.28,-246.02,2012.12937346043,2012.11958286175,2012.10979226308
6.37,6.45,6.41,-33.48,-263.88,2012.10979226308,2012.1000016644,2012.09021106573
6.45,6.53,6.49,-35.29,-278.35,2012.09021106573,2012.08042046705,2012.07062986838
6.53,6.61,6.57,-36.16,-283.84,2012.07062986838,2012.0608392697,2012.05104867102
6.61,6.7,6.65,-33.68,-263.81,2012.05104867102,2012.04125807235,2012.029019824
6.7,6.78,6.74,-32.61,-253.97,2012.029019824,2012.01922922533,2012.00943862665
6.78,6.86,6.82,-33.7,-265.92,2012.00943862665,2011.99962882947,2011.98930419722
6.86,6.94,6.9,-32.54,-254.39,2011.98930419722,2011.97897956497,2011.96865493272
6.94,7.01,6.97,-31.94,-250.36,2011.96865493272,2011.96091145853,2011.95058682629
7.01,7.09,7.05,-28.83,-227.37,2011.95058682629,2011.94026219404,2011.92993756179
7.09,7.19,7.14,-26.62,-208.37,2011.92993756179,2011.91703177147,2011.90412598116
7.19,7.28,7.23,-26.46,-205.96,2011.90412598116,2011.89380134891,2011.8808955586
7.28,7.35,7.31,-29.04,-226.31,2011.8808955586,2011.87315208441,2011.86282745216
7.35,7.43,7.39,-30.76,-241.37,2011.86282745216,2011.85250281992,2011.84217818767
7.43,7.52,7.47,-32.84,-257.99,2011.84217818767,2011.83185355542,2011.8189477651
7.52,7.56,7.54,-32.68,-258.13,2011.8189477651,2011.81378544898,2011.80862313286
7.56,7.69,7.62,-31.46,-246,2011.80862313286,2011.79313618448,2011.77506807804
7.69,7.79,7.74,-30.7,-237.89,2011.77506807804,2011.76216228773,2011.74925649742
7.79,7.9,7.85,-28.28,-217.64,2011.74925649742,2011.73376954905,2011.72086375873
7.9,8,7.95,-28.44,-220.64,2011.72086375873,2011.70795796842,2011.69505217811
8,8.11,8.06,-27.25,-213.88,2011.69505217811,2011.67956522974,2011.66665943942
8.11,8.21,8.16,-27.83,-218.77,2011.66665943942,2011.65375364911,2011.6408478588
8.21,8.32,8.27,-30.47,-239.58,2011.6408478588,2011.62536091043,2011.61245512011
8.32,8.42,8.37,-25.64,-198.66,2011.61245512011,2011.5995493298,2011.58664353949
8.42,8.53,8.48,-23.89,-184.2,2011.58664353949,2011.57115659112,2011.5582508008
8.53,8.63,8.58,-26.81,-210.75,2011.5582508008,2011.54534501049,2011.53243922018
8.63,8.74,8.69,-26.27,-205.07,2011.53243922018,2011.51695227181,2011.50404648149
8.74,8.82,8.78,-26.65,-206.69,2011.50404648149,2011.49372184925,2011.483397217
8.82,8.9,8.86,-27.75,-215.26,2011.483397217,2011.47307258475,2011.4627479525
8.9,8.98,8.94,-28.45,-222.71,2011.4627479525,2011.45242332025,2011.442098688
8.98,9.08,9.03,-28.08,-219.84,2011.442098688,2011.42919289769,2011.41628710737
9.08,9.17,9.13,-26.9,-208.61,2011.41628710737,2011.40338131706,2011.39305668481
9.17,9.26,9.22,-27.17,-211.29,2011.39305668481,2011.3801508945,2011.36982626225
9.26,9.37,9.31,-27.23,-211.4,2011.36982626225,2011.35692047194,2011.34143352356
9.37,9.38,9.37,-27.06,-210.02,2011.34143352356,2011.34143352356,2011.3388523655
9.38,9.54,9.46,-24.87,-194.93,2011.3388523655,2011.318203101,2011.2975538365
9.54,9.66,9.6,-24.91,-195.3,2011.2975538365,2011.28206688813,2011.26657993976
9.66,9.8,9.73,-25.01,-197.94,2011.26657993976,2011.24851183332,2011.23044372688
9.8,9.91,9.86,-22.71,-180.66,2011.23044372688,2011.21495677851,2011.2020509882
9.91,10.03,9.97,-23.21,-183.99,2011.2020509882,2011.18656403982,2011.17107709145
10.03,10.14,10.09,-27.13,-214.24,2011.17107709145,2011.15559014307,2011.14268435276
10.14,10.26,10.2,-31.5,-248.22,2011.14268435276,2011.12719740439,2011.11171045601
10.26,10.34,10.3,-33.34,-262.35,2011.11171045601,2011.10138582376,2011.09106119151
10.34,10.45,10.4,-33.37,-261.96,2011.09106119151,2011.07557424314,2011.06266845283
10.45,10.56,10.5,-33.84,-263.06,2011.06266845283,2011.04976266252,2011.03427571414
10.56,10.65,10.6,-32.79,-252.26,2011.03427571414,2011.02395108189,2011.01104529158
10.65,10.78,10.72,-28.68,-220.58,2011.01104529158,2010.99132011848,2010.97217895078
10.78,10.89,10.84,-24.88,-191.99,2010.97217895078,2010.95303778307,2010.93708680998
10.89,11.01,10.95,-24.9,-194.68,2010.93708680998,2010.91794564227,2010.89880447457
11.01,11.13,11.07,-24.79,-193.58,2010.89880447457,2010.87966330686,2010.86052213915
11.13,11.23,11.18,-23.76,-185.95,2010.86052213915,2010.84457116606,2010.82862019297
11.23,11.36,11.3,-21.74,-169.03,2010.82862019297,2010.80628883065,2010.78714766294
11.36,11.48,11.42,-24.01,-187.8,2010.78714766294,2010.76800649524,2010.74886532753
11.48,11.59,11.54,-23.29,-179.47,2010.74886532753,2010.72972415982,2010.71377318673
11.59,11.73,11.66,-24.49,-189.69,2010.71377318673,2010.69144182441,2010.66911046208
11.73,11.83,11.78,-25.31,-197.53,2010.66911046208,2010.65315948899,2010.63720851591
11.83,11.96,11.89,-24.7,-192.81,2010.63720851591,2010.6180673482,2010.59573598587
11.96,12.06,12.01,-25.4,-199.06,2010.59573598587,2010.57978501278,2010.5638340397
12.06,12.15,12.11,-26.92,-212.06,2010.5638340397,2010.54788306661,2010.53512228813
12.15,12.26,12.2,-27.59,-216.88,2010.53512228813,2010.51917131505,2010.50003014734
12.26,12.38,12.32,-29.78,-234.62,2010.50003014734,2010.48088897963,2010.46174781193
12.38,12.48,12.43,-32.95,-259.69,2010.46174781193,2010.44579683884,2010.42984586575
12.48,12.63,12.55,-33.01,-260.44,2010.42984586575,2010.40751450342,2010.38199294648
12.63,12.73,12.68,-33.07,-262.83,2010.38199294648,2010.36604197339,2010.3500910003
12.73,12.86,12.8,-34.13,-270.25,2010.3500910003,2010.32775963798,2010.30861847027
12.86,12.97,12.91,-33.83,-269.53,2010.30861847027,2010.29266749718,2010.27352632947
12.97,13.07,13.02,-31.48,-251.13,2010.27352632947,2010.25757535638,2010.2416243833
13.07,13.18,13.13,-28.79,-226.65,2010.2416243833,2010.22248321559,2010.2065322425
13.18,13.27,13.23,-29.8,-235.42,2010.2065322425,2010.19058126941,2010.17782049094
13.27,13.34,13.3,-30.08,-239.77,2010.17782049094,2010.16824990709,2010.15548912861
13.34,13.43,13.38,-28.95,-228.31,2010.15548912861,2010.14272835014,2010.12677737705
13.43,13.51,13.47,-26.47,-206.93,2010.12677737705,2010.11401659858,2010.10125582011
13.51,13.6,13.56,-27.4,-212.73,2010.10125582011,2010.08530484702,2010.07254406855
13.6,13.69,13.65,-30.71,-239.91,2010.07254406855,2010.05659309546,2010.04383231699
