TopDepth,MidDepth,BotDepth,Oxygen18,Deuterium,TopTime,MidTime,BotTime
0.75,0.878666667,1.007333333,-26.5,-207.2,NaN,NaN,NaN
1.007333333,1.136,1.264666667,-28.1,-228.7,NaN,NaN,NaN
1.264666667,1.393333333,1.522,-27.1,-222.5,NaN,NaN,NaN
1.522,1.664856821,1.807713643,-24,-191.2,NaN,NaN,NaN
1.807713643,1.930845018,2.053976393,-26.6,-211.1,NaN,NaN,NaN
2.053976393,2.183865762,2.313755132,-31.2,-246.9,NaN,NaN,NaN
2.313755132,2.424245769,2.534736406,-31.9,-250.9,NaN,NaN,NaN
2.534736406,2.632842778,2.730949151,-29.6,-228.3,NaN,NaN,NaN
2.730949151,2.845293183,2.959637215,-30,-237.4,NaN,NaN,2018.97696697164
2.959637215,3.114318608,3.269,-28,-223.1,2018.97696697164,2018.94447088067,2018.91197478992
3.269,3.451033282,3.633066563,-27.9,-221.6,2018.91197478992,2018.87373250378,2018.83549021786
3.633066563,3.78986649,3.946666417,-29.1,-230.3,2018.83549021786,2018.80254905672,2018.76960789559
3.946666417,4.093453063,4.240239708,-26.4,-209.3,2018.76960789559,2018.73877036492,2018.70793283445
4.240239708,4.371130103,4.502020498,-28.3,-222.5,2018.70793283445,2018.68043485231,2018.65293687017
4.502020498,4.625392685,4.748764872,-22.1,-187.8,2018.65293687017,2018.62701834349,2018.60109981681
4.748764872,4.85984101,4.970917148,NaN,NaN,2018.60109981681,2018.5777644937,2018.55442917059
4.970917148,5.0872723,5.203627452,-26.7,-208.6,2018.55442917059,2018.52998481092,2018.50554045126
5.203627452,5.256813726,5.31,-24,-185.9,2018.50554045126,2018.49436686429,2018.48319327731
5.31,5.383591594,5.457183187,-24.9,-192.3,2018.48319327731,2018.4677328584,2018.45227243971
5.457183187,5.565273399,5.67336361,-24.1,-196.4,2018.45227243971,2018.42956441197,2018.40685638445
5.67336361,5.778681805,5.884,-21.2,-167.1,2018.40685638445,2018.38473071324,2018.36260504202
5.884,6.008188432,6.132376865,-27.2,-213.4,2018.36260504202,2018.33651503529,2018.31042502836
6.132376865,6.246226158,6.360075452,-26,-202.6,2018.31042502836,2018.28650710966,2018.26258919076
6.360075452,6.469623108,6.579170764,-25.5,-198.7,2018.26258919076,2018.23957497731,2018.21656076387
6.579170764,6.68602138,6.792871996,-26.6,-210.8,2018.21656076387,2018.19411315546,2018.17166554706
6.792871996,6.900876445,7.008880894,-24.8,-192.9,2018.17166554706,2018.14897553676,2018.12628552647
7.008880894,7.101947566,7.195014239,-28.6,-229,2018.12628552647,2018.10673370462,2018.08718188256
7.195014239,7.303331196,7.411648153,-29.2,-230.6,2018.08718188256,2018.06442621933,2018.04167055609
7.411648153,7.522536654,7.633425155,-29.8,-232.5,2018.04167055609,2018.01837465252,2017.9916038871
7.633425155,7.732684698,7.83194424,-30.3,-238.5,2017.9916038871,2017.95602698996,2017.92045009319
7.83194424,7.940020681,8.048097121,-26.6,-205.6,2017.92045009319,2017.88171301756,2017.84297594229
8.048097121,8.163481055,8.278864989,-23.6,-186.2,2017.84297594229,2017.80161969355,2017.7602634448
8.278864989,8.394133301,8.509401612,-23.2,-177.9,2017.7602634448,2017.71894863763,2017.67763383082
8.509401612,8.608412971,8.707424331,-23.3,-180.3,2017.67763383082,2017.64214588853,2017.60665794588
8.707424331,8.80250613,8.89758793,-23.9,-191.2,2017.60665794588,2017.57257844803,2017.53849894982
8.89758793,8.995093202,9.092598474,-26.6,-209.5,2017.53849894982,2017.50355082366,2017.46860269749
9.092598474,9.19491388,9.297229286,-27.8,-215.9,2017.46860269749,2017.43193050896,2017.39525832043
