TopDepth,MidDepth,BotDepth,Oxygen18,Deuterium,IceLense,TopTime,MidTime,BotTime
0.34,0.49,0.64,-28.5,-222.3,0,NaN,NaN,NaN
0.64,0.79,0.94,-26.3,-204.6,0,NaN,NaN,NaN
0.94,1.102,1.264,-29.1,-224.8,0,NaN,NaN,NaN
1.264,1.389,1.514,-30.8,-238.7,0,NaN,2021.96843971631,2021.92411347518
1.514,1.639,1.764,-32.9,-254.8,0,2021.92411347518,2021.87978723404,2021.83546099291
1.764,1.8865,2.009,-30.5,-232.2,0,2021.83546099291,2021.7920212766,2021.74858156028
2.009,2.134,2.259,-27.3,-210.7,0,2021.74858156028,2021.70425531915,2021.65992907801
2.259,2.384,2.509,-28.5,-221.5,0,2021.65992907801,2021.61560283688,2021.57127659574
2.509,2.632,2.755,-22.7,-175.6,0,2021.57127659574,2021.52765957447,2021.48404255319
2.755,2.88,3.005,-23.2,-180.9,0,2021.48404255319,2021.43971631206,2021.39539007092
3.005,3.13,3.255,-21.7,-169.5,0,2021.39539007092,2021.35106382979,2021.30673758865
3.255,3.363,3.471,-22.6,-178.3,0,2021.30673758865,2021.26843971631,2021.23014184397
3.471,3.629,3.787,-25.5,-199.5,0,2021.23014184397,2021.17411347518,2021.11808510638
3.787,3.945,4.103,-30.4,-235.5,0,2021.11808510638,2021.06205673759,2021.00602836879
4.103,4.233,4.363,-32,-249.8,0,2021.00602836879,2020.96869806094,2020.93268698061
4.363,4.493,4.623,-27.4,-215.3,0,2020.93268698061,2020.89667590028,2020.86066481994
4.623,4.75,4.877,-29,-225.5,0,2020.86066481994,2020.82548476454,2020.79030470914
4.877,4.997,5.117,-22.6,-172.1,0,2020.79030470914,2020.75706371191,2020.72382271468
5.117,5.137,5.157,-26.9,-205.8,0,2020.72382271468,2020.71828254848,2020.71274238227
5.157,5.3835,5.61,-23.3,-177.6,0,2020.71274238227,2020.65,2020.58725761773
5.61,5.74,5.87,-25.3,-194.5,0,2020.58725761773,2020.5512465374,2020.51523545706
5.87,6,6.13,-26.1,-201.4,0,2020.51523545706,2020.47922437673,2020.4432132964
