Year_CE,Annual_Accumulation_m
2012,1.84
2011,1.82
2010,1.53
2009,1.52
2008,1.43
2007,1.47
2006,1.68
2005,1.59
2004,1.59
2003,1.77
2002,1.95
2001,1.28
2000,1.59
1999,1.23
1998,1.86
1997,1.19
1996,0.83
1995,1.23
1994,1.49
1993,1.80
1992,1.05
1991,1.04
1990,1.13
1989,1.54
1988,1.71
1987,1.07
1986,1.35
1985,1.31
1984,0.96
1983,1.06
1982,1.24
1981,1.20
1980,1.64
1979,1.49
1978,0.98
1977,1.39
1976,1.37
1975,1.09
1974,1.10
1973,0.94
1972,0.84
1971,1.04
1970,1.25
1969,1.41
1968,0.86
1967,1.42
1966,1.36
1965,1.39
1964,0.84
1963,1.30
1962,1.11
1961,1.57
1960,1.36
1959,1.04
1958,1.23
1957,1.10
1956,0.65
1955,1.00
1954,1.12
1953,0.98
1952,1.21
1951,1.14
1950,0.70
1949,0.84
1948,0.83
1947,1.07
1946,0.89
1945,1.46
1944,1.31
1943,1.30
1942,1.17
1941,1.03
1940,1.19
1939,1.29
1938,1.59
1937,0.94
1936,0.81
1935,1.09
1934,1.26
1933,0.55
1932,0.86
1931,1.27
1930,1.15
1929,0.87
1928,1.08
1927,0.78
1926,1.02
1925,1.31
1924,1.08
1923,1.17
1922,1.03
1921,0.87
1920,0.76
1919,1.19
1918,0.90
1917,0.99
1916,0.84
1915,0.91
1914,0.98
1913,0.87
1912,1.17
1911,0.85
1910,0.74
1909,0.64
1908,0.74
1907,0.70
1906,0.54
1905,0.74
1904,1.25
1903,0.82
1902,0.61
1901,0.78
1900,0.85
1899,0.96
1898,0.84
1897,1.08
1896,0.63
1895,0.78
1894,0.92
1893,0.57
1892,0.91
1891,0.67
1890,0.71
1889,1.27
1888,0.82
1887,0.96
1886,0.65
1885,0.81
1884,0.86
1883,0.82
1882,1.19
1881,0.78
1880,1.08
1879,0.71
1878,1.01
1877,0.83
1876,0.68
1875,0.75
1874,0.88
1873,0.95
1872,0.72
1871,0.47
1870,0.93
1869,0.96
1868,1.15
1867,0.61
1866,0.70
1865,0.42
1864,0.76
1863,0.84
1862,0.52
1861,0.67
1860,1.02
1859,0.54
1858,0.91
1857,0.77
1856,0.80
1855,0.87
1854,0.58
1853,0.53
1852,1.15
1851,0.92
1850,0.70
1849,0.59
1848,0.72
1847,0.72
1846,0.59
1845,0.87
1844,0.82
1843,0.70
1842,0.77
1841,0.59
1840,1.01
1839,0.57
1838,0.66
1837,0.55
1836,0.70
1835,0.45
1834,0.65
1833,0.75
1832,0.96
1831,0.91
1830,0.64
1829,0.57
1828,0.62
1827,0.75
1826,0.82
1825,0.56
1824,0.59
1823,0.66
1822,0.85
1821,0.60
1820,0.73
1819,0.94
1818,0.80
1817,0.80
1816,0.49
1815,0.43
1814,0.67
1813,0.78
1812,0.70
1811,0.63
1810,0.75
1809,0.75
1808,0.63
1807,0.82
1806,0.79
1805,0.56
1804,1.03
1803,0.88
1802,0.88
1801,0.80
1800,1.05
1799,1.08
1798,1.10
1797,0.72
1796,0.68
1795,0.75
1794,0.79
1793,1.00
1792,1.08
1791,0.96
1790,0.62
1789,0.46
1788,0.55
1787,0.79
1786,0.54
1785,0.47
1784,0.41
1783,0.77
1782,0.66
1781,0.97
1780,0.76
1779,0.52
1778,0.63
1777,0.85
1776,0.59
1775,0.80
1774,0.84
1773,0.55
1772,0.94
1771,0.71
1770,1.04
1769,0.63
1768,0.62
1767,0.93
1766,1.18
1765,0.78
1764,0.62
1763,0.50
1762,0.73
1761,0.62
1760,0.56
1759,0.76
1758,0.48
1757,0.59
1756,0.65
1755,0.52
1754,0.31
1753,0.42
1752,0.44
1751,0.68
1750,0.54
1749,0.54
1748,0.34
1747,0.63
1746,0.53
1745,0.51
1744,0.78
1743,0.52
1742,0.51
1741,0.51
1740,0.46
1739,0.36
1738,0.33
1737,0.27
1736,0.33
1735,0.39
1734,0.30
1733,0.31
1732,0.54
1731,0.40
1730,0.44
1729,0.31
1728,0.35
1727,0.29
1726,0.38
1725,0.38
1724,0.27
1723,0.57
1722,0.74
1721,0.75
1720,0.46
1719,0.44
1718,0.42
1717,0.52
1716,0.63
1715,0.77
1714,0.55
1713,0.51
1712,0.43
1711,0.56
1710,0.63
1709,0.53
1708,0.47
1707,0.50
1706,0.78
1705,0.79
1704,0.76
1703,0.42
1702,0.54
1701,0.77
1700,0.53
1699,0.50
