hours since 1800-01-01 00:00:0.0,Year,Month,Day,Mean daily precipitation rate (Kg/m^2/s),Temp @ 1000,Temp @  925,Temp @  850,Temp @  700,Temp @  600,Temp @  500,Temp @  400,Temp @  300,Temp @  250,Temp @  200,Temp @  150,Temp @  100,Temp @   70,Temp @   50,Temp @   30,Temp @   20,Temp @   10
1569072,1979,1,1,3.00E-07,271.2200012,267.0999756,268.2399902,262.0899963,255.5800018,247,233.8399963,219.2200012,213.449997,220.2899933,221.6199951,219.2799988,215.8899994,212.5399933,209.2599945,207.4200134,211.0899963
1569096,1979,1,2,3.50E-06,272.3699951,269.5499878,266.6699829,259,252.8999939,245.8399963,235.7299957,220.2799988,213.75,216.2200012,220.7899933,218.3399963,217.9199982,214.5099945,209.1699982,206.75,208.8399963
1569120,1979,1,3,9.99E-08,273.8699951,269.9400024,272.1699829,266.6900024,259.3999939,250.0599976,237.5599976,221.0599976,211.5,208.4700012,216.9199982,218.4799957,217.6699982,215.449997,209.199997,205.1199951,203.6199951
1569144,1979,1,4,9.99E-08,269.2200012,265.5200195,269.6699829,265.5200195,258.5899963,249.4199982,237.1199951,220.7200012,214.6199951,213.9700012,218.1199951,219.0399933,217.949997,214.8699951,210.1699982,205.5,207.9700012
1569168,1979,1,5,9.99E-08,269.3200073,267.2700195,270.0200195,263.3999939,256.75,248.3399963,237.2599945,222,216.1199951,217.2599945,220.1399994,217.1699982,217.3699951,214.6699982,209.3399963,205.5100098,210.6399994
1569192,1979,1,6,9.99E-08,274.3200073,271.6900024,271.25,263.6900024,257.5700073,249.4799957,237.449997,222.0599976,214.7899933,216.8300018,218.8699951,215.5899963,216.3399963,213.7899933,208.2900085,205.2900085,202.2600098
1569216,1979,1,7,9.99E-08,272.3200073,270.4700012,270.8399963,263.5899963,257.1499939,248.2200012,235.2200012,220.9199982,215.5899963,218.0099945,219,216.4799957,215.6399994,213.6399994,208.9200134,203.0299988,201.4500122
1569240,1979,1,8,2.70E-06,269.9199829,266.8200073,268.7000122,261.9700012,254.5299988,245.699997,233.3099976,222.1499939,219.0399933,219.7899933,218.8899994,214.6199951,212.199997,209.0899963,201.8900147,198.5599976,199.8299866
1569264,1979,1,9,9.99E-08,270.5499878,266.5700073,269.7000122,263.5200195,255.1499939,244.949997,232.7799988,221.7799988,219.0399933,218.8399963,217.7299957,212.0399933,208.0799866,204.0499878,199.3399963,198.8699951,203.1700134
1569288,1979,1,10,9.99E-08,271.6199951,268.1199951,271.5899963,267.9400024,258.3999939,247.4199982,237.449997,223.449997,212.6199951,210.25,214.699997,213.0599976,210.449997,206.3900147,200.9200134,199.6199951,202.8399963
1569312,1979,1,11,9.99E-08,272.0200195,269.0499878,270.25,263.75,255.7899933,245.3999939,234.3399963,221.3699951,213.25,212.2200012,215.8399963,214.4700012,211.8300018,208.1700134,202.0499878,200.6700134,203.0499878
1569336,1979,1,12,9.99E-08,272.4899902,269.5200195,270.3699951,262,253.5599976,243.5800018,231.8300018,217.0899963,210.9199982,212.3899994,215.7200012,214.1699982,211.3699951,207.8699951,202.480011,200.9500122,203.0899963
1569360,1979,1,13,4.50E-06,273.2200012,269.0899963,268.9199829,259.7700195,251.1699982,241.5800018,229.8399963,215.5099945,210.7299957,214.5299988,217.5800018,213.9700012,213.0599976,208.5899963,203.3399963,202.3699951,208
